TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,390456,390456,1,Riserva naturale controllata Punta dell'Acquabella,Riserva naturale controllata Punta dell'Acquabella,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,0.28,0.273300034522,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390470,390470,1,Parco naturale regionale Fiume Ofanto,Parco naturale regionale Fiume Ofanto,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,248.83,249.04231987,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390471,390471,1,Parco naturale regionale Litorale di Ugento,Parco naturale regionale Litorale di Ugento,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,16.35,16.3725997962,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390472,390472,1,Parco naturale regionale Dune costiere da Torre Canne a Torre S.Leonardo,Parco naturale regionale Dune costiere da Torre Canne a Torre S.Leonardo,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,9.35,9.4406156363,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390473,390473,1,Parco naturale regionale Costa Otranto - S.Maria di Leuca e Bosco di Tricase,Parco naturale regionale Costa Otranto - S.Maria di Leuca e Bosco di Tricase,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,31.8,31.8078412386,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390457,390457,1,Riserva naturale controllata Ripari di Giobbe,Riserva naturale controllata Ripari di Giobbe,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,0.35,0.42195182514,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390458,390458,1,Riserva naturale controllata Marina di Vasto,Riserva naturale controllata Marina di Vasto,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,0.57,0.472933242182,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390459,390459,1,Riserva naturale Contrafforte Pliocenico,Riserva naturale Contrafforte Pliocenico,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,7.57,7.57504404611,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390460,390460,1,"Riserva naturale regionale ""Valle dell'Arcionello""","Riserva naturale regionale ""Valle dell'Arcionello""",Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,4.39,4.3889014354,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390461,390461,1,Riserva naturale Valle Bova,Riserva naturale Valle Bova,Riserva naturale regionale/provinciale,Regional/Provincial Nature Reserve,National,IV,Not Applicable,0,0,0,3.91,3.91016981268,Not Applicable,0,Designated,2007,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390474,390474,1,Parco naturale regionale Isola di S.Andrea e litorale di Punta Pizzo,Parco naturale regionale Isola di S.Andrea e litorale di Punta Pizzo,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,V,Not Applicable,0,0,0,6.98,6.98706070816,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
Polygon,390475,390475,1,Parco naturale regionale Bosco Incoronata,Parco naturale regionale Bosco Incoronata,Parco naturale regionale/provinciale,Regional/Provincial Nature Park,National,IV,Not Applicable,0,0,0,18.73,18.7574979237,Not Applicable,0,Designated,2006,Federal or national ministry or agency,Not Reported,Amministrazione Regionale/Provinciale,Not Reported,State Verified,1839,Not Reported,ITA,ITA
