id,name,highway,public_tra,operator,shelter,bus,route_ref,network,bench,wheelchair,amenity,railway,website,train,covered,line,route,alt_name,ferry,contact_we,opening_ho,contact_ph,email,contact_mo,station,aeroway,contact_em,contact_fa,official_n,lat,lon,COD_RIP,COD_REG,COD_PROV,COD_CM,COD_PCM,DEN_PROV,DEN_CM,DEN_PCM,SIGLA,Shape_Leng,Shape_Area
2489190777.00000,Gewerbezone Winkelau - Zona produttiva Winkelau,bus_stop,,SASA,yes,,"201;215",,,,,,,,,,,,,,,,,,,,,,,46.5967975,11.2003194,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190778.00000,Bivio Via Volta - Abzweigung Voltastraße,bus_stop,,SASA,yes,,"10A;110",,,,,,,,,,,,,,,,,,,,,,,46.4784761,11.3393389,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190779.00000,Bivio Via Volta - Abzweigung Voltastraße,bus_stop,,SASA,yes,,"10B;110",,,,,,,,,,,,,,,,,,,,,,,46.4788261,11.3395228,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190780.00000,Bivio Via Fago - Abzweigung Fagenstraße,bus_stop,,SASA,,,"1;14;153",,,,,,,,,,,,,,,,,,,,,,,46.5086878,11.3471253,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190781.00000,Kasernenstraße - Via Caserme,bus_stop,platform,SASA,no,,212,Verkehrsverbund Südtirol,no,,,,,,,,,,,,,,,,,,,,,46.6596238,11.1601924,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190782.00000,Kasernenstraße - Via Caserme,bus_stop,platform,SASA,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,46.6599343,11.1605322,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190783.00000,Via Max Valier - Max Valier Straße,bus_stop,,SASA,,,"1;14;153",,,,,,,,,,,,,,,,,,,,,,,46.5070222,11.3472506,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190784.00000,Via Max Valier - Max Valier Straße,bus_stop,,SASA,,,12,,,,,,,,,,,,,,,,,,,,,,,46.5073086,11.3471694,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190785.00000,Angerweg - Via dei Frutteti,bus_stop,platform,SASA,no,,212,Verkehrsverbund Südtirol,no,,,,,,,,,,,,,,,,,,,,,46.6567811,11.1619018,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190786.00000,Angerweg - Via dei Frutteti,bus_stop,platform,SASA,no,,,,no,,,,,,,,,,,,,,,,,,,,,46.6575347,11.1620408,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190787.00000,Via Cadorna Scuole - Cadorna Straße Schulen,bus_stop,,SASA,yes,,"1;14;153",,,,,,,,,,,,,,,,,,,,,,,46.5046039,11.3465833,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
2489190788.00000,Via Cadorna Scuole - Cadorna Straße Schulen,bus_stop,,SASA,yes,,12,,,,,,,,,,,,,,,,,,,,,,,46.5046272,11.3465364,2,4,21,0,21,Bolzano,-,Bolzano,BZ,664502.76007,7397857497.19000
